id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,sektor_wisata,jumlah_pendapatan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,HOTEL,0,RUPIAH,2014
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,RESTORAN/RUMAH MAKAN,27946638075,RUPIAH,2014
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,HIBURAN,7077430815,RUPIAH,2014
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,RETRIBUSI,485255100,RUPIAH,2014
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HOTEL,0,RUPIAH,2014
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RESTORAN/RUMAH MAKAN,0,RUPIAH,2014
7,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HIBURAN,0,RUPIAH,2014
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RETRIBUSI,1108916000,RUPIAH,2014
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HOTEL,4337767572,RUPIAH,2014
10,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RESTORAN/RUMAH MAKAN,2490761962,RUPIAH,2014
11,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HIBURAN,710547080,RUPIAH,2014
12,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RETRIBUSI,1665761000,RUPIAH,2014
13,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HOTEL,2311227053,RUPIAH,2014
14,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RESTORAN/RUMAH MAKAN,6894597594,RUPIAH,2014
15,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HIBURAN,706313905,RUPIAH,2014
16,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RETRIBUSI,0,RUPIAH,2014
17,32,JAWA BARAT,3205,KABUPATEN GARUT,HOTEL,1446990400,RUPIAH,2014
18,32,JAWA BARAT,3205,KABUPATEN GARUT,RESTORAN/RUMAH MAKAN,0,RUPIAH,2014
