id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_pengunjung,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,ORANG,2014
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,19011,ORANG,2014
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,ORANG,2014
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,ORANG,2014
5,32,JAWA BARAT,3205,KABUPATEN GARUT,1200,ORANG,2014
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,ORANG,2014
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,ORANG,2014
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,82329,ORANG,2014
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,ORANG,2014
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,250,ORANG,2014
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,14930,ORANG,2014
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,ORANG,2014
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,19356,ORANG,2014
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,ORANG,2014
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1580,ORANG,2014
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,ORANG,2014
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,ORANG,2014
18,32,JAWA BARAT,3271,KOTA BOGOR,124408,ORANG,2014
19,32,JAWA BARAT,3272,KOTA SUKABUMI,3132,ORANG,2014
20,32,JAWA BARAT,3273,KOTA BANDUNG,2037027,ORANG,2014
21,32,JAWA BARAT,3274,KOTA CIREBON,42883,ORANG,2014
22,32,JAWA BARAT,3275,KOTA BEKASI,0,ORANG,2014
23,32,JAWA BARAT,3276,KOTA DEPOK,0,ORANG,2014
24,32,JAWA BARAT,3277,KOTA CIMAHI,0,ORANG,2014
25,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2014
26,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2014
27,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,ORANG,2015
28,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,ORANG,2015
