id,kode_provinsi,nama_provinsi,kategori_wisatawan,jumlah_wisatawan,satuan,tahun
1,32,JAWA BARAT,WISATAWAN DOMESTIK,58728666,ORANG,2016
2,32,JAWA BARAT,WISATAWAN MANCANEGARA,4428094,ORANG,2016
3,32,JAWA BARAT,WISATAWAN DOMESTIK,59644070,ORANG,2017
4,32,JAWA BARAT,WISATAWAN MANCANEGARA,4984035,ORANG,2017
5,32,JAWA BARAT,WISATAWAN DOMESTIK,63298608,ORANG,2018
6,32,JAWA BARAT,WISATAWAN MANCANEGARA,2597455,ORANG,2018
7,32,JAWA BARAT,WISATAWAN DOMESTIK,64610832,ORANG,2019
8,32,JAWA BARAT,WISATAWAN MANCANEGARA,3645433,ORANG,2019
9,32,JAWA BARAT,WISATAWAN DOMESTIK,36524515,ORANG,2020
10,32,JAWA BARAT,WISATAWAN MANCANEGARA,3716950,ORANG,2020
